epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,644.703,1.02287,0.7411,0.99955,0.94164,0.81496,0.89464,0.65155,1.08677,0.78718,1.0496,0.0012476,0.0012476,0.0012476
40,661.836,1.02497,0.72221,1.0048,0.88673,0.83838,0.89109,0.64639,1.08738,0.75391,1.00765,0.0012278,0.0012278,0.0012278
41,679.127,1.03853,0.75101,1.00127,0.93224,0.83388,0.87988,0.64196,1.03852,0.75233,0.99955,0.001208,0.001208,0.001208
42,696.326,1.01915,0.72013,0.98954,0.84334,0.90909,0.92399,0.66709,1.07416,0.70349,1.06833,0.0011882,0.0011882,0.0011882
43,713.538,0.97815,0.70144,0.97844,0.90981,0.81522,0.86859,0.6127,1.04371,0.82835,1.0291,0.0011684,0.0011684,0.0011684
44,730.817,0.99734,0.70209,0.98424,0.87483,0.81818,0.87877,0.63872,1.10065,0.76222,1.07049,0.0011486,0.0011486,0.0011486
45,747.903,0.97492,0.69801,0.98641,0.90588,0.82828,0.87883,0.62589,1.0559,0.73761,1.00678,0.0011288,0.0011288,0.0011288
46,765.052,1.01672,0.72712,0.99496,0.87135,0.87879,0.92866,0.66068,1.13683,0.77726,1.06704,0.001109,0.001109,0.001109
47,782.126,0.96047,0.69789,0.97486,0.91049,0.82201,0.87112,0.63114,1.13701,1.0708,1.05637,0.0010892,0.0010892,0.0010892
48,799.276,0.94661,0.66442,0.97304,0.89454,0.84848,0.90056,0.64502,1.03698,0.6801,0.99963,0.0010694,0.0010694,0.0010694
49,816.447,0.94225,0.66568,0.9653,0.87453,0.84485,0.90956,0.6524,1.00693,0.6987,1.01467,0.0010496,0.0010496,0.0010496
50,833.613,0.95708,0.67162,0.97397,0.86018,0.87002,0.91511,0.65767,1.05531,0.72786,0.99476,0.0010298,0.0010298,0.0010298
51,850.696,0.95437,0.67683,0.97619,0.89744,0.82828,0.89575,0.65626,1.01786,0.76632,0.9968,0.00101,0.00101,0.00101
52,867.776,0.92781,0.65673,0.96465,0.87992,0.81419,0.87706,0.64264,1.07113,0.72645,1.05354,0.0009902,0.0009902,0.0009902
53,884.861,0.93152,0.6547,0.96122,0.90594,0.79798,0.8644,0.62847,1.02924,0.82629,1.02346,0.0009704,0.0009704,0.0009704
