epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,630.721,1.01915,0.72013,0.98954,0.84334,0.90909,0.92399,0.66709,1.07416,0.70349,1.06833,0.0011882,0.0011882,0.0011882
43,646.329,0.97815,0.70144,0.97844,0.90981,0.81522,0.86859,0.6127,1.04371,0.82835,1.0291,0.0011684,0.0011684,0.0011684
44,662.23,0.99734,0.70209,0.98424,0.87483,0.81818,0.87877,0.63872,1.10065,0.76222,1.07049,0.0011486,0.0011486,0.0011486
45,677.644,0.97492,0.69801,0.98641,0.90588,0.82828,0.87883,0.62589,1.0559,0.73761,1.00678,0.0011288,0.0011288,0.0011288
46,693.217,1.01672,0.72712,0.99496,0.87135,0.87879,0.92866,0.66068,1.13683,0.77726,1.06704,0.001109,0.001109,0.001109
47,708.787,0.96047,0.69789,0.97486,0.91049,0.82201,0.87112,0.63114,1.13701,1.0708,1.05637,0.0010892,0.0010892,0.0010892
48,724.672,0.94661,0.66442,0.97304,0.89454,0.84848,0.90056,0.64502,1.03698,0.6801,0.99963,0.0010694,0.0010694,0.0010694
49,740.462,0.94225,0.66568,0.9653,0.87453,0.84485,0.90956,0.6524,1.00693,0.6987,1.01467,0.0010496,0.0010496,0.0010496
50,756.243,0.95708,0.67162,0.97397,0.86018,0.87002,0.91511,0.65767,1.05531,0.72786,0.99476,0.0010298,0.0010298,0.0010298
51,772.081,0.95437,0.67683,0.97619,0.89744,0.82828,0.89575,0.65626,1.01786,0.76632,0.9968,0.00101,0.00101,0.00101
52,787.815,0.92781,0.65673,0.96465,0.87992,0.81419,0.87706,0.64264,1.07113,0.72645,1.05354,0.0009902,0.0009902,0.0009902
53,803.373,0.93152,0.6547,0.96122,0.90594,0.79798,0.8644,0.62847,1.02924,0.82629,1.02346,0.0009704,0.0009704,0.0009704
54,819.464,0.93068,0.65576,0.95412,0.89354,0.84781,0.89114,0.6517,0.99349,0.81418,0.98856,0.0009506,0.0009506,0.0009506
55,835.508,0.90945,0.61619,0.95596,0.92523,0.87499,0.91279,0.65895,0.96807,0.66264,0.98176,0.0009308,0.0009308,0.0009308
56,850.871,0.89412,0.61628,0.94353,0.90231,0.87879,0.91662,0.66889,0.98407,0.68597,0.98185,0.000911,0.000911,0.000911
57,866.883,0.88413,0.62003,0.93834,0.91936,0.85859,0.91288,0.67236,0.99178,0.69906,0.98015,0.0008912,0.0008912,0.0008912
58,882.608,0.89366,0.63814,0.94365,0.93402,0.85798,0.93495,0.66345,1.04593,0.72769,1.0085,0.0008714,0.0008714,0.0008714
59,898.282,0.90177,0.61771,0.95503,0.87276,0.90909,0.91705,0.66987,1.00843,0.64746,0.99651,0.0008516,0.0008516,0.0008516
60,913.902,0.87994,0.61641,0.94959,0.93166,0.82622,0.90716,0.67589,0.97526,0.63821,1.00452,0.0008318,0.0008318,0.0008318
61,929.927,0.88296,0.59806,0.94326,0.92882,0.91919,0.92807,0.67946,1.09451,0.64446,1.03358,0.000812,0.000812,0.000812
62,945.876,0.87615,0.61244,0.9462,0.91582,0.87912,0.91245,0.64157,1.01807,0.71375,1.03036,0.0007922,0.0007922,0.0007922
63,961.613,0.86163,0.59039,0.93342,0.91579,0.87877,0.91965,0.67239,1.00159,0.66228,0.9927,0.0007724,0.0007724,0.0007724
64,977.43,0.855,0.58052,0.93371,0.93593,0.88539,0.91689,0.66274,1.10249,0.71948,1.07577,0.0007526,0.0007526,0.0007526
65,993.194,0.85052,0.57872,0.93238,0.85803,0.91576,0.91849,0.66912,1.09951,0.67232,1.0478,0.0007328,0.0007328,0.0007328
66,1009.05,0.85429,0.57587,0.93931,0.89542,0.86486,0.9166,0.69013,0.95709,0.62627,0.96593,0.000713,0.000713,0.000713
67,1024.91,0.84361,0.57323,0.93403,0.92542,0.87743,0.91469,0.6783,0.96771,0.68161,0.97816,0.0006932,0.0006932,0.0006932
68,1040.73,0.84009,0.55939,0.9295,0.8962,0.88889,0.90854,0.65239,0.99533,0.70227,0.99397,0.0006734,0.0006734,0.0006734
69,1056.27,0.85816,0.57971,0.93177,0.93545,0.87831,0.92222,0.68783,1.00032,0.66237,0.98426,0.0006536,0.0006536,0.0006536
70,1072.44,0.82794,0.56214,0.9145,0.91467,0.86869,0.91585,0.68165,0.95069,0.71388,0.99086,0.0006338,0.0006338,0.0006338
71,1088.43,0.8341,0.57585,0.93008,0.92361,0.85489,0.92487,0.69082,0.92973,0.70772,0.96596,0.000614,0.000614,0.000614
72,1104.57,0.82291,0.5681,0.92852,0.91737,0.87879,0.92294,0.69202,0.94053,0.66764,0.96247,0.0005942,0.0005942,0.0005942
73,1120.51,0.80504,0.5343,0.919,0.91121,0.86869,0.91941,0.69903,0.9486,0.60832,0.97753,0.0005744,0.0005744,0.0005744
74,1136.75,0.79835,0.54235,0.90213,0.92601,0.88492,0.92539,0.69525,0.93604,0.62298,0.95538,0.0005546,0.0005546,0.0005546
75,1152.5,0.78189,0.53395,0.90929,0.91903,0.91719,0.92755,0.69537,0.92743,0.57098,0.97014,0.0005348,0.0005348,0.0005348
76,1168.34,0.79189,0.53207,0.91946,0.90754,0.87879,0.91262,0.68844,0.94403,0.64131,0.96866,0.000515,0.000515,0.000515
77,1184.37,0.79238,0.53384,0.906,0.95548,0.86712,0.91593,0.70155,0.9108,0.59318,0.96244,0.0004952,0.0004952,0.0004952
78,1200.51,0.77732,0.5086,0.91549,0.94549,0.87879,0.93291,0.70218,0.93623,0.61017,0.95733,0.0004754,0.0004754,0.0004754
79,1216.87,0.77704,0.51854,0.9043,0.90791,0.89899,0.91758,0.68282,0.9594,0.64058,0.97626,0.0004556,0.0004556,0.0004556
80,1233.03,0.76292,0.5141,0.90597,0.93681,0.90909,0.93189,0.71071,0.96008,0.5633,0.97199,0.0004358,0.0004358,0.0004358
81,1248.97,0.75465,0.51647,0.89504,0.93561,0.88062,0.92488,0.69909,0.95965,0.59549,0.98135,0.000416,0.000416,0.000416
82,1265.21,0.77737,0.51762,0.90467,0.90988,0.91787,0.92997,0.70622,0.9163,0.56579,0.96562,0.0003962,0.0003962,0.0003962
83,1281.29,0.77992,0.51989,0.90742,0.9259,0.88348,0.91432,0.68078,0.8891,0.59043,0.96829,0.0003764,0.0003764,0.0003764
84,1297.41,0.72577,0.48793,0.88871,0.92711,0.90909,0.93482,0.70617,0.89074,0.5496,0.95809,0.0003566,0.0003566,0.0003566
85,1313.25,0.75908,0.50987,0.89813,0.9524,0.87879,0.91698,0.69052,0.96253,0.58608,0.98381,0.0003368,0.0003368,0.0003368
86,1329.6,0.73137,0.50075,0.89723,0.93009,0.88889,0.92676,0.70769,0.93581,0.56405,0.97232,0.000317,0.000317,0.000317
87,1345.56,0.72451,0.48642,0.88995,0.94399,0.87879,0.93085,0.72154,0.90261,0.57137,0.94258,0.0002972,0.0002972,0.0002972
88,1361.49,0.76506,0.50639,0.89366,0.95459,0.86869,0.92761,0.70983,0.90207,0.6302,0.94954,0.0002774,0.0002774,0.0002774
89,1377.63,0.72736,0.49054,0.90046,0.92765,0.90662,0.91698,0.70529,0.9306,0.583,0.9546,0.0002576,0.0002576,0.0002576
90,1393.48,0.73016,0.49818,0.8945,0.92691,0.89672,0.9317,0.70465,0.89959,0.57901,0.95918,0.0002378,0.0002378,0.0002378
91,1410.66,0.63023,0.40084,0.86404,0.92222,0.89899,0.93056,0.70151,0.89705,0.58084,0.95955,0.000218,0.000218,0.000218
92,1426.71,0.62306,0.39197,0.8513,0.92351,0.86869,0.91966,0.70026,0.91774,0.6107,0.95454,0.0001982,0.0001982,0.0001982
93,1443.02,0.64361,0.40151,0.86525,0.91608,0.90909,0.92557,0.70121,0.91606,0.58962,0.96189,0.0001784,0.0001784,0.0001784
94,1459,0.61097,0.38236,0.85839,0.90662,0.90909,0.92735,0.69698,0.89689,0.599,0.96485,0.0001586,0.0001586,0.0001586
95,1475.3,0.61305,0.38567,0.85638,0.90879,0.90576,0.92403,0.69731,0.93828,0.69873,0.97082,0.0001388,0.0001388,0.0001388
96,1491.53,0.6153,0.37335,0.8481,0.89167,0.90909,0.92791,0.70932,0.89684,0.59711,0.96065,0.000119,0.000119,0.000119
97,1507.81,0.58866,0.3686,0.84475,0.89169,0.91476,0.92781,0.70823,0.90057,0.57367,0.96527,9.92e-05,9.92e-05,9.92e-05
98,1523.89,0.5921,0.37102,0.84918,0.93736,0.86869,0.93201,0.71364,0.89908,0.59302,0.95819,7.94e-05,7.94e-05,7.94e-05
99,1539.87,0.59205,0.37365,0.85203,0.94028,0.86869,0.93158,0.71708,0.89545,0.60052,0.95815,5.96e-05,5.96e-05,5.96e-05
100,1556.14,0.57548,0.36518,0.84774,0.94395,0.86869,0.93044,0.70754,0.89532,0.60672,0.95754,3.98e-05,3.98e-05,3.98e-05
